name,birthday,nationality
Bradley Cooper,1975-01-05,USA
Leonardo DiCaprio,1974-11-11,USA
Julia Roberts,1967-10-28,USA
Richard Gere,1949-08-31,USA
Emma Watson,1990-04-15,FR
Emma D'Arcy,1992-06-27,GB
Emilia Clarke,1986-10-23,GB
